code,title,observed,n_studies,estimate,posterior_std
25-2058.00,Special Education Teachers; Secondary School,,,0.2541,1.004
25-2059.01,Adapted Physical Education Specialists,,,0.2746,1.006
25-3011.00,Adult Basic Education; Adult Secondary Education; and English as a Second Language Instructors,,,0.3571,1.002
25-3021.00,Self-Enrichment Teachers,,,0.2766,1.0259
25-3031.00,Substitute Teachers; Short-Term,,,0.2497,1.0082
25-3041.00,Tutors,,,0.2605,1.0087
25-4011.00,Archivists,,,0.2169,1.0013
25-4012.00,Curators,,,0.2935,1.0023
25-4013.00,Museum Technicians and Conservators,,,0.2572,1.0085
25-4022.00,Librarians and Media Collections Specialists,,,0.2589,1.004
25-4031.00,Library Technicians,,,0.2567,1.0026
25-9021.00,Farm and Home Management Educators,,,0.2529,1.0112
